stock_id,sector,business_model,geographic_focus,business_maturity,competitive_position,market_cap_category,revenue_tier,profitability_profile,asset_intensity,financial_strength
US001,Industrials,B2B,Domestic,Mature,Market_Leader,Large,Tier_1,Standard,Moderate,Stable
US002,Industrials,B2B,Global,Growth,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US003,Healthcare,B2C,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Moderate,Stable
US004,Healthcare,B2B,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Asset_Light,Strong
US005,Technology,B2B,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US006,Technology,Platform,Global,Growth,Market_Leader,Large,Tier_1,High_Margin,Asset_Light,Strong
US007,Technology,B2B,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Asset_Light,Strong
US008,Utilities,B2B,Domestic,Mature,Strong_Player,Mid,Tier_2,Low_Margin,Moderate,Developing
US009,Finance,B2C,Domestic,Growth,Market_Leader,Large,Tier_1,Low_Margin,Capital_Intensive,Strong
US010,Healthcare,B2C,Global,Mature,Market_Leader,Mid,Tier_2,High_Margin,Capital_Intensive,Strong
US011,Materials,B2C,Global,Mature,Strong_Player,Large,Tier_1,Standard,Moderate,Strong
US012,Consumer_Discretionary,B2C,International,Growth,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US013,Technology,Platform,Global,Mature,Market_Leader,Mid,Tier_2,Standard,Asset_Light,Stable
US014,Materials,B2B,Global,Growth,Market_Leader,Mid,Tier_2,Standard,Asset_Light,Stable
US015,Real_Estate,B2B,International,Growth,Market_Leader,Mid,Tier_2,Standard,Moderate,Stable
US016,Healthcare,B2C,Global,Growth,Market_Leader,Mid,Tier_2,Standard,Moderate,Stable
US017,Industrials,B2B,Global,Mature,Market_Leader,Mid,Tier_2,High_Margin,Capital_Intensive,Stable
US018,Utilities,B2C,International,Mature,Market_Leader,Mid,Tier_2,Low_Margin,Capital_Intensive,Developing
US019,Finance,B2C,Global,Mature,Strong_Player,Large,Tier_1,High_Margin,Moderate,Strong
US020,Communication,Platform,Global,Mature,Market_Leader,Large,Tier_1,Standard,Capital_Intensive,Stable
US021,Communication,Platform,Global,Growth,Market_Leader,Large,Tier_1,High_Margin,Capital_Intensive,Stable
US022,Consumer_Staples,B2C,Global,Growth,Market_Leader,Large,Tier_1,Standard,Asset_Light,Strong
US023,Consumer_Discretionary,Platform,Global,Growth,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US024,Consumer_Discretionary,B2C,International,Growth,Strong_Player,Mid,Tier_2,Low_Margin,Moderate,Strong
US025,Utilities,B2B,Global,Cyclical,Market_Leader,Mid,Tier_2,Low_Margin,Moderate,Strong
US026,Utilities,B2B,Global,Mature,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US027,Finance,B2C,Global,Mature,Market_Leader,Large,Tier_1,Standard,Asset_Light,Strong
US028,Finance,B2C,Global,Growth,Market_Leader,Mid,Tier_2,Low_Margin,Moderate,Stable
US029,Real_Estate,B2B,Global,Growth,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US030,Utilities,B2B,Global,Mature,Market_Leader,Mid,Tier_2,Standard,Capital_Intensive,Strong
US031,Finance,B2C,Global,Growth,Market_Leader,Mid,Tier_2,Standard,Asset_Light,Strong
US032,Industrials,B2B,Global,Mature,Market_Leader,Mid,Tier_2,Low_Margin,Capital_Intensive,Developing
US033,Healthcare,B2B,International,Mature,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US034,Technology,B2B,Global,Growth,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US035,Technology,B2B,International,Growth,Market_Leader,Large,Tier_1,High_Margin,Asset_Light,Strong
US036,Finance,B2C,International,Cyclical,Market_Leader,Large,Tier_1,Standard,Asset_Light,Strong
US037,Energy,B2B,International,Mature,Market_Leader,Mid,Tier_2,Standard,Capital_Intensive,Developing
US038,Finance,B2C,Global,Cyclical,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US039,Technology,B2B,International,Mature,Market_Leader,Large,Tier_1,High_Margin,Asset_Light,Strong
US040,Technology,B2B,Global,Growth,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US041,Consumer_Discretionary,B2C,Global,Growth,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Stable
US042,Finance,B2C,International,Growth,Strong_Player,Mid,Tier_2,Standard,Moderate,Strong
US043,Consumer_Staples,B2C,Global,Growth,Market_Leader,Mid,Tier_2,Standard,Moderate,Stable
US044,Technology,B2B,Global,Mature,Strong_Player,Large,Tier_1,High_Margin,Asset_Light,Strong
US045,Finance,B2C,International,Mature,Strong_Player,Large,Tier_1,Standard,Asset_Light,Strong
US046,Finance,B2C,International,Growth,Strong_Player,Mid,Tier_2,Standard,Moderate,Stable
US047,Communication,B2B,Global,Cyclical,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US048,Utilities,B2B,Global,Mature,Market_Leader,Mid,Tier_2,Low_Margin,Moderate,Stable
US049,Technology,Platform,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US050,Technology,Platform,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US051,Consumer_Discretionary,B2C,Global,Mature,Strong_Player,Large,Tier_1,Standard,Moderate,Stable
US052,Real_Estate,B2C,Global,Growth,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Strong
US053,Consumer_Discretionary,B2C,Global,Cyclical,Market_Leader,Mid,Tier_2,Standard,Moderate,Strong
US054,Industrials,B2B,Domestic,Mature,Strong_Player,Large,Tier_1,Standard,Capital_Intensive,Strong
US055,Energy,B2B,Domestic,Cyclical,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US056,Consumer_Discretionary,B2C,Global,Mature,Strong_Player,Mid,Tier_2,Low_Margin,Moderate,Stable
US057,Finance,B2C,International,Mature,Market_Leader,Large,Tier_1,Standard,Asset_Light,Strong
US058,Healthcare,B2C,International,Mature,Strong_Player,Mid,Tier_2,Standard,Moderate,Strong
US059,Healthcare,B2C,International,Growth,Market_Leader,Large,Tier_1,Standard,Moderate,Stable
US060,Finance,B2C,International,Growth,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US061,Consumer_Discretionary,B2C,International,Growth,Strong_Player,Mid,Tier_2,High_Margin,Capital_Intensive,Strong
US062,Healthcare,B2B,Domestic,Mature,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Stable
US063,Healthcare,B2B,Global,Mature,Strong_Player,Mid,Tier_2,High_Margin,Asset_Light,Strong
US064,Finance,B2C,International,Growth,Strong_Player,Large,Tier_1,Standard,Moderate,Strong
US065,Finance,B2C,Global,Mature,Strong_Player,Large,Tier_1,Standard,Asset_Light,Strong
US066,Technology,Platform,International,Mature,Strong_Player,Mid,Tier_2,High_Margin,Asset_Light,Strong
US067,Finance,B2C,Global,Growth,Strong_Player,Large,Tier_1,Standard,Asset_Light,Strong
US068,Industrials,B2B,Global,Cyclical,Strong_Player,Large,Tier_1,Standard,Capital_Intensive,Stable
US069,Consumer_Discretionary,B2C,Global,Cyclical,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US070,Healthcare,B2C,International,Mature,Strong_Player,Large,Tier_1,High_Margin,Asset_Light,Strong
US071,Healthcare,B2B,Global,Growth,Strong_Player,Large,Tier_1,Standard,Moderate,Strong
US072,Technology,B2B,International,Mature,Strong_Player,Large,Tier_1,High_Margin,Moderate,Strong
US073,Technology,B2B,Global,Mature,Market_Leader,Mid,Tier_2,Standard,Asset_Light,Stable
US074,Finance,B2C,Global,Growth,Market_Leader,Mid,Tier_2,Low_Margin,Asset_Light,Strong
US075,Consumer_Staples,B2C,International,Mature,Strong_Player,Mid,Tier_2,Standard,Moderate,Strong
US076,Industrials,B2B,Global,Cyclical,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US077,Consumer_Staples,B2C,International,Mature,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Developing
US078,Real_Estate,B2B,Global,Mature,Strong_Player,Mid,Tier_2,High_Margin,Asset_Light,Stable
US079,Industrials,B2B,Global,Mature,Strong_Player,Mid,Tier_2,Standard,Moderate,Developing
US080,Technology,Platform,Global,Mature,Strong_Player,Large,Tier_1,High_Margin,Asset_Light,Strong
US081,Consumer_Discretionary,B2C,Domestic,Mature,Market_Leader,Mid,Tier_2,Low_Margin,Asset_Light,Developing
US082,Real_Estate,B2B,International,Growth,Market_Leader,Mid,Tier_2,Standard,Capital_Intensive,Strong
US083,Consumer_Staples,B2C,International,Growth,Market_Leader,Mid,Tier_2,Low_Margin,Moderate,Stable
US084,Finance,B2C,Global,Cyclical,Strong_Player,Large,Tier_1,Standard,Asset_Light,Strong
US085,Healthcare,B2C,Global,Growth,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Strong
US086,Consumer_Discretionary,B2C,Domestic,Growth,Market_Leader,Mid,Tier_2,Standard,Asset_Light,Stable
US087,Consumer_Discretionary,B2C,International,Growth,Market_Leader,Mid,Tier_2,High_Margin,Moderate,Strong
US088,Industrials,B2B,Global,Mature,Market_Leader,Large,Tier_1,Standard,Capital_Intensive,Strong
US089,Industrials,B2B,Global,Mature,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US090,Finance,B2C,Global,Cyclical,Strong_Player,Mid,Tier_2,Standard,Moderate,Strong
US091,Real_Estate,B2B,International,Growth,Strong_Player,Mid,Tier_2,Standard,Moderate,Strong
US092,Technology,B2B,International,Mature,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Stable
US093,Healthcare,B2C,International,Growth,Strong_Player,Large,Tier_1,High_Margin,Moderate,Strong
US094,Healthcare,B2C,International,Mature,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Strong
US095,Utilities,B2C,Global,Cyclical,Market_Leader,Mid,Tier_2,Low_Margin,Capital_Intensive,Stable
US096,Materials,B2B,Global,Mature,Market_Leader,Mid,Tier_2,Low_Margin,Capital_Intensive,Stable
US097,Healthcare,B2C,Domestic,Mature,Strong_Player,Mid,Tier_2,High_Margin,Capital_Intensive,Stable
US098,Finance,B2C,Global,Mature,Strong_Player,Large,Tier_1,Standard,Moderate,Strong
US099,Communication,B2B,Global,Cyclical,Strong_Player,Mid,Tier_2,Standard,Moderate,Stable
US100,Energy,B2B,Global,Cyclical,Strong_Player,Large,Tier_1,Low_Margin,Capital_Intensive,Strong
US101,Consumer_Discretionary,B2C,Global,Mature,Strong_Player,Large,Tier_1,Standard,Moderate,Strong
US102,Finance,B2C,International,Mature,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US103,Consumer_Staples,B2C,Global,Growth,Strong_Player,Mid,Tier_2,Standard,Moderate,Stable
US104,Healthcare,B2C,Global,Growth,Strong_Player,Large,Tier_1,High_Margin,Moderate,Stable
US105,Finance,B2C,International,Cyclical,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Strong
US106,Industrials,B2B,Global,Growth,Strong_Player,Large,Tier_1,High_Margin,Moderate,Stable
US107,Technology,B2B,Global,Mature,Strong_Player,Large,Tier_1,Standard,Asset_Light,Stable
US108,Finance,B2C,Global,Cyclical,Strong_Player,Large,Tier_1,Standard,Moderate,Stable
US109,Finance,B2C,International,Growth,Strong_Player,Mid,Tier_2,Low_Margin,Moderate,Stable
US110,Consumer_Staples,B2C,Global,Mature,Strong_Player,Mid,Tier_2,Low_Margin,Capital_Intensive,Stable
US111,Finance,B2C,International,Growth,Strong_Player,Large,Tier_1,Standard,Moderate,Strong
US112,Utilities,B2B,Domestic,Mature,Market_Leader,Mid,Tier_2,Low_Margin,Capital_Intensive,Stable
US113,Consumer_Staples,B2C,Global,Mature,Strong_Player,Large,Tier_1,High_Margin,Capital_Intensive,Stable
US114,Technology,B2B,Global,Mature,Strong_Player,Mid,Tier_2,High_Margin,Asset_Light,Strong
US115,Finance,B2C,International,Mature,Strong_Player,Large,Tier_1,High_Margin,Moderate,Stable
US116,Consumer_Staples,B2C,Global,Mature,Strong_Player,Large,Tier_1,Standard,Moderate,Strong
US117,Communication,B2C,Global,Cyclical,Strong_Player,Large,Tier_1,Standard,Moderate,Stable
US118,Consumer_Staples,B2C,Domestic,Cyclical,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Developing
US119,Energy,B2B,Global,Cyclical,Market_Leader,Large,Tier_1,Standard,Capital_Intensive,Strong
US120,Utilities,B2B,Domestic,Mature,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US121,Consumer_Staples,B2C,International,Mature,Market_Leader,Mid,Tier_2,Standard,Moderate,Strong
US122,Utilities,B2B,Global,Mature,Market_Leader,Large,Tier_1,Low_Margin,Capital_Intensive,Strong
US123,Healthcare,B2C,Global,Mature,Market_Leader,Mid,Tier_2,Standard,Asset_Light,Strong
US124,Industrials,B2B,Global,Growth,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Strong
US125,Technology,B2B,International,Mature,Market_Leader,Large,Tier_1,Standard,Asset_Light,Stable
US126,Technology,Platform,Global,Mature,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Stable
US127,Materials,B2C,Global,Mature,Strong_Player,Large,Tier_1,Low_Margin,Moderate,Developing
US128,Real_Estate,B2C,Global,Cyclical,Strong_Player,Mid,Tier_2,Standard,Moderate,Stable
US129,Consumer_Staples,B2C,Global,Growth,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US130,Energy,B2C,International,Cyclical,Strong_Player,Mid,Tier_2,Low_Margin,Moderate,Strong
US131,Technology,Platform,Global,Mature,Strong_Player,Large,Tier_1,Standard,Moderate,Strong
US132,Real_Estate,B2B,Global,Growth,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Developing
US133,Industrials,B2B,Global,Cyclical,Strong_Player,Large,Tier_1,Standard,Capital_Intensive,Strong
US134,Industrials,B2B,Global,Mature,Market_Leader,Large,Tier_1,Low_Margin,Capital_Intensive,Stable
US135,Healthcare,B2C,Global,Mature,Strong_Player,Large,Tier_1,High_Margin,Capital_Intensive,Stable
US136,Healthcare,B2C,Global,Mature,Strong_Player,Large,Tier_1,High_Margin,Asset_Light,Developing
US137,Consumer_Discretionary,B2C,Global,Cyclical,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US138,Technology,Platform,International,Growth,Strong_Player,Mid,Tier_2,Standard,Moderate,Stable
US139,Healthcare,B2C,Domestic,Growth,Strong_Player,Mid,Tier_2,Standard,Moderate,Stable
US140,Technology,Platform,Global,Mature,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Stable
US141,Consumer_Discretionary,B2C,Domestic,Mature,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Strong
US142,Industrials,B2B,Global,Growth,Strong_Player,Large,Tier_1,High_Margin,Capital_Intensive,Stable
US143,Technology,B2B,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Moderate,Stable
US144,Industrials,B2B,Global,Cyclical,Strong_Player,Mid,Tier_2,Low_Margin,Capital_Intensive,Stable
US145,Energy,B2C,Domestic,Cyclical,Market_Leader,Mid,Tier_2,Standard,Capital_Intensive,Strong
US146,Healthcare,B2C,Global,Mature,Market_Leader,Mid,Tier_2,Standard,Capital_Intensive,Strong
US147,Energy,B2B,Global,Mature,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US148,Real_Estate,B2C,International,Mature,Strong_Player,Large,Tier_1,Low_Margin,Capital_Intensive,Stable
US149,Consumer_Staples,B2C,Domestic,Mature,Strong_Player,Mid,Tier_2,Standard,Moderate,Stable
US150,Consumer_Staples,B2C,International,Mature,Strong_Player,Mid,Tier_2,Low_Margin,Capital_Intensive,Stable
US151,Utilities,B2B,International,Mature,Strong_Player,Large,Tier_1,Low_Margin,Capital_Intensive,Developing
US152,Consumer_Discretionary,B2C,Domestic,Growth,Market_Leader,Mid,Tier_2,Low_Margin,Asset_Light,Strong
US153,Consumer_Discretionary,Platform,Global,Growth,Strong_Player,Large,Tier_1,High_Margin,Moderate,Stable
US154,Industrials,B2B,Global,Mature,Market_Leader,Mid,Tier_2,Low_Margin,Capital_Intensive,Stable
US155,Materials,B2C,Global,Growth,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Stable
US156,Consumer_Discretionary,B2C,Global,Mature,Strong_Player,Mid,Tier_2,Low_Margin,Moderate,Strong
US157,Utilities,B2B,International,Mature,Strong_Player,Mid,Tier_2,Standard,Moderate,Strong
US158,Utilities,B2B,Global,Mature,Strong_Player,Large,Tier_1,Standard,Capital_Intensive,Stable
US159,Materials,B2B,Global,Cyclical,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US160,Materials,B2B,Domestic,Mature,Market_Leader,Mid,Tier_2,Standard,Asset_Light,Developing
US161,Industrials,B2B,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Capital_Intensive,Strong
US162,Consumer_Discretionary,Platform,International,Mature,Market_Leader,Mid,Tier_2,High_Margin,Asset_Light,Strong
US163,Materials,B2C,Global,Mature,Strong_Player,Large,Tier_1,High_Margin,Moderate,Strong
US164,Utilities,B2B,International,Mature,Market_Leader,Mid,Tier_2,Low_Margin,Capital_Intensive,Developing
US165,Healthcare,B2C,International,Growth,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Strong
US166,Communication,B2B,Global,Mature,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US167,Healthcare,B2C,Domestic,Growth,Strong_Player,Large,Tier_1,High_Margin,Asset_Light,Stable
US168,Industrials,B2B,International,Mature,Strong_Player,Large,Tier_1,Standard,Capital_Intensive,Stable
US169,Technology,B2B,International,Growth,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Stable
US170,Utilities,B2B,Global,Mature,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Strong
US171,Energy,B2C,Global,Cyclical,Market_Leader,Large,Tier_1,Low_Margin,Capital_Intensive,Stable
US172,Technology,B2B,Domestic,Growth,Strong_Player,Mid,Tier_2,High_Margin,Asset_Light,Stable
US173,Energy,B2B,Global,Mature,Market_Leader,Mid,Tier_2,Standard,Capital_Intensive,Developing
US174,Industrials,B2B,Domestic,Growth,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Strong
US175,Real_Estate,B2C,International,Cyclical,Market_Leader,Large,Tier_1,Low_Margin,Moderate,Strong
US176,Real_Estate,B2B,Global,Growth,Market_Leader,Mid,Tier_2,Standard,Moderate,Developing
US177,Finance,B2C,Global,Cyclical,Market_Leader,Mid,Tier_2,Standard,Moderate,Strong
US178,Real_Estate,B2C,Global,Mature,Strong_Player,Mid,Tier_2,Standard,Moderate,Stable
US179,Consumer_Staples,B2C,Global,Mature,Strong_Player,Mid,Tier_2,High_Margin,Capital_Intensive,Stable
US180,Finance,B2C,Global,Mature,Market_Leader,Mid,Tier_2,Standard,Capital_Intensive,Stable
US181,Utilities,B2C,Global,Mature,Strong_Player,Mid,Tier_2,Low_Margin,Moderate,Stable
US182,Utilities,B2C,Global,Mature,Market_Leader,Mid,Tier_2,Low_Margin,Moderate,Strong
US183,Utilities,B2C,International,Mature,Strong_Player,Mid,Tier_2,Low_Margin,Capital_Intensive,Strong
US184,Energy,B2C,Global,Cyclical,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Strong
US185,Consumer_Discretionary,B2C,Global,Growth,Strong_Player,Mid,Tier_2,Standard,Moderate,Stable
US186,Industrials,B2B,Domestic,Growth,Strong_Player,Mid,Tier_2,Standard,Moderate,Strong
US187,Real_Estate,B2B,Domestic,Growth,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Developing
US188,Energy,B2C,Global,Cyclical,Strong_Player,Large,Tier_1,Low_Margin,Capital_Intensive,Stable
US189,Technology,Platform,Global,Growth,Market_Leader,Mid,Tier_2,High_Margin,Asset_Light,Stable
US190,Finance,B2C,International,Cyclical,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US191,Technology,Platform,Global,Mature,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Strong
US192,Industrials,B2B,International,Growth,Strong_Player,Large,Tier_1,High_Margin,Capital_Intensive,Strong
US193,Real_Estate,B2B,International,Mature,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Developing
US194,Industrials,B2B,International,Mature,Strong_Player,Large,Tier_1,Standard,Capital_Intensive,Strong
US195,Technology,B2B,Domestic,Mature,Strong_Player,Mid,Tier_2,High_Margin,Asset_Light,Strong
US196,Finance,B2C,International,Growth,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Stable
US197,Technology,B2B,International,Mature,Strong_Player,Mid,Tier_2,Standard,Moderate,Stable
US198,Utilities,B2C,International,Cyclical,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US199,Technology,B2B,International,Mature,Strong_Player,Large,Tier_1,High_Margin,Asset_Light,Strong
US200,Consumer_Discretionary,B2C,International,Cyclical,Market_Leader,Mid,Tier_2,Standard,Moderate,Strong
US201,Technology,Platform,Global,Mature,Strong_Player,Large,Tier_1,High_Margin,Asset_Light,Stable
US202,Technology,B2B,International,Mature,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Strong
US203,Communication,B2B,Global,Cyclical,Niche_Specialist,Mid,Tier_2,Standard,Asset_Light,Stable
US204,Communication,B2C,Global,Mature,Strong_Player,Mid,Tier_2,Low_Margin,Capital_Intensive,Stable
US205,Finance,B2C,Global,Mature,Niche_Specialist,Mid,Tier_2,Low_Margin,Moderate,Stable
US206,Materials,B2B,International,Mature,Strong_Player,Large,Tier_1,Standard,Moderate,Stable
US207,Technology,B2B,International,Mature,Strong_Player,Mid,Tier_2,High_Margin,Asset_Light,Strong
